win,female_commit,male_commit,all_commit
1,0,0,1
2,0,0,0
3,0,0,0
4,0,0,204
5,0,0,77
6,0,23,112
7,0,139,168
8,0,185,265
9,0,219,500
10,0,153,251
11,0,148,229
12,0,93,197
13,8,329,515
14,24,143,305
15,32,857,1109
16,17,405,611
17,29,643,953
18,38,377,705
19,62,799,1446
20,43,1150,1667
21,63,1801,2493
22,114,2339,3309
23,66,2966,4596
24,235,3341,5029
25,537,7526,10204
26,954,8927,11794
27,1751,9776,14766
28,2122,11095,17176
29,1994,15391,22436
30,1993,16187,24832
31,2152,19654,30647
32,2846,30330,51281
33,4213,37109,61138
34,2070,27563,42755
35,2372,27350,42575
36,2346,25092,41651
37,3370,36466,59888
38,2956,35875,60964
39,3103,34391,59300
40,3450,34929,64535
41,4739,40365,71946
42,20800,74890,192097
43,19934,82706,352614
44,33449,164738,734686
45,52564,111290,657517
46,59313,185265,1013965
