win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,226,11,531,768,116,7,230,353
2,235,8,544,787,134,7,229,370
3,295,9,582,886,151,5,255,411
4,313,10,556,879,166,5,254,425
5,377,11,706,1094,209,7,297,513
6,377,16,701,1094,217,10,318,545
7,441,17,723,1181,281,12,321,614
8,421,19,717,1157,287,12,345,644
9,518,22,778,1318,332,14,365,711
10,608,27,815,1450,403,19,382,804
11,697,30,929,1656,459,27,419,905
12,839,31,1028,1898,583,23,450,1056
13,950,44,1085,2079,678,30,494,1202
14,1280,55,1185,2520,835,38,514,1387
15,1508,62,1373,2943,950,42,606,1598
16,1890,68,1640,3598,1154,44,722,1920
17,2651,96,2019,4766,1624,54,896,2574
18,2752,118,2048,4918,1819,69,978,2866
19,3265,124,2525,5914,2146,74,1187,3407
20,3505,138,2497,6140,2367,97,1386,3850
21,4898,189,3261,8348,3163,125,1763,5051
22,5694,270,3902,9866,3691,157,2094,5942
23,6517,352,4657,11526,4228,208,2487,6923
24,7574,460,5500,13534,4929,240,3034,8203
25,9557,639,7117,17313,6042,351,3811,10204
26,10678,718,8113,19509,6887,427,4479,11793
27,12304,937,9884,23125,8063,550,5352,13965
28,14329,1166,11941,27436,9495,729,6633,16857
29,19212,2013,17406,38631,12798,1264,10323,24385
30,21477,2237,20643,44357,14647,1531,12842,29020
31,21668,2463,20558,44689,14937,1606,12960,29503
32,24078,2837,24144,51059,16537,1863,15198,33598
33,24401,2807,23152,50360,15926,1675,13730,31331
34,21768,2467,20347,44582,14315,1484,12265,28064
35,20733,2336,19654,42723,13667,1355,11269,26291
36,22884,2709,21834,47427,14173,1532,12668,28373
37,23609,3009,24032,50650,15040,1754,13823,30617
38,20921,2527,21752,45200,13109,1419,11919,26447
39,19961,2390,20228,42579,12547,1314,10899,24760
40,20806,2812,22797,46415,12725,1505,11628,25858
41,22239,3026,25438,50703,12954,1566,12366,26886
42,19957,2728,24235,46920,12209,1486,12260,25955
43,19518,2784,25815,48117,11740,1518,12868,26126
44,22364,3382,34632,60378,12830,1803,17181,31814
45,21288,3373,34946,59607,12748,1946,18870,33564
46,16823,2505,26990,46318,10524,1459,14928,26911
