win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,3868,93,3323,7284,1772,38,1530,3340
2,3959,87,3418,7464,1905,36,1603,3544
3,4203,95,3575,7873,1971,33,1718,3722
4,4497,108,3713,8318,2147,31,1754,3932
5,4969,102,4058,9129,2352,37,1947,4336
6,5237,134,4069,9440,2562,48,1957,4567
7,5489,144,4170,9803,2733,49,2068,4850
8,5679,167,4356,10202,2897,60,2150,5107
9,6045,146,4587,10778,3245,53,2297,5595
10,6170,174,4544,10888,3435,69,2347,5851
11,6612,213,4737,11562,3670,80,2492,6242
12,6825,192,4653,11670,3901,82,2516,6499
13,7761,234,5007,13002,4483,98,2716,7297
14,8008,230,5266,13504,4824,112,2884,7820
15,8347,252,5175,13774,5149,107,3006,8262
16,9125,249,5709,15083,5811,112,3353,9276
17,10719,310,6768,17797,6826,165,4081,11072
18,11157,314,7130,18601,7229,165,4319,11713
19,12193,385,8109,20687,7857,221,4910,12988
20,12018,342,7762,20122,7819,197,4840,12856
21,13940,450,9268,23658,9004,264,5709,14977
22,14354,478,9902,24734,9343,266,6239,15848
23,15095,497,10651,26243,9669,280,6481,16430
24,16128,578,11475,28181,10429,338,7235,18002
25,17664,648,12761,31073,11193,332,7902,19427
26,17936,625,12988,31549,11626,339,8145,20110
27,18269,688,12888,31845,11598,347,7965,19910
28,19095,784,13619,33498,12125,419,8455,20999
29,20302,783,14584,35669,12624,430,8953,22007
30,21020,850,15413,37283,13170,472,9487,23129
31,21037,896,14856,36789,13078,479,8894,22451
32,22481,933,16228,39642,13901,497,9814,24212
33,23192,987,16343,40522,13948,495,9624,24067
34,21657,858,15045,37560,13128,461,8930,22519
35,20581,860,14116,35557,12402,420,8204,21026
36,21187,831,14994,37012,12671,428,8797,21896
37,21966,902,15926,38794,12653,495,9037,22185
38,20702,845,14743,36290,11904,420,8409,20733
39,20150,817,14647,35614,11562,394,8010,19966
40,20626,832,15656,37114,11636,398,8472,20506
41,21373,904,16145,38422,11699,428,8471,20598
42,20737,930,16302,37969,11438,442,8596,20476
43,19899,863,16376,37138,10926,417,8580,19923
44,20694,995,18612,40301,11254,462,9315,21031
45,20627,981,17879,39487,10991,461,9294,20746
46,17453,847,15459,33759,9829,430,8249,18508
