win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,432,9,313,754,284,7,240,531
2,892,10,370,1272,579,7,257,843
3,1129,21,421,1571,789,10,301,1100
4,1376,24,505,1905,946,17,332,1295
5,1715,30,593,2338,1166,20,408,1594
6,1816,38,661,2515,1309,25,434,1768
7,2014,45,793,2852,1415,30,531,1976
8,2387,51,876,3314,1652,35,571,2258
9,2788,56,997,3841,1932,45,648,2625
10,2999,67,1098,4164,2115,48,733,2896
11,3665,85,1330,5080,2558,59,858,3475
12,4229,88,1658,5975,2924,57,1097,4078
13,5170,110,1825,7105,3565,73,1190,4828
14,6257,141,2202,8600,4298,92,1452,5842
15,7136,159,2490,9785,4988,114,1618,6720
16,7923,186,2921,11030,5647,124,1927,7698
17,10440,293,4156,14889,7218,190,2686,10094
18,10809,290,4341,15440,7802,218,2942,10962
19,12612,399,5716,18727,9060,285,3863,13208
20,12703,389,5609,18701,9091,269,3807,13167
21,16054,539,7559,24152,11256,394,4943,16593
22,16802,602,8050,25454,11764,422,5310,17496
23,18570,741,8992,28303,12835,510,5819,19164
24,19620,877,9842,30339,13325,606,6348,20279
25,21072,899,10236,32207,14314,637,6638,21589
26,21705,1124,10794,33623,14770,783,7059,22612
27,21234,1138,10507,32879,14593,806,6813,22212
28,21714,1192,11080,33986,14780,840,7095,22715
29,23083,1328,11985,36396,15787,916,7612,24315
30,23546,1432,12503,37481,15927,1003,7890,24820
31,22576,1410,12144,36130,15336,995,7406,23737
32,23523,1632,14221,39376,15452,1081,7935,24468
33,24220,1695,14132,40047,15404,978,7411,23793
34,22203,1706,13664,37573,14191,968,6991,22150
35,20764,1638,12379,34781,13549,953,6540,21042
36,20234,1537,12831,34602,13090,914,6650,20654
37,20833,1634,14079,36546,13219,933,6869,21021
38,19564,1613,13776,34953,12143,837,6264,19244
39,18283,1605,12937,32825,11420,875,6091,18386
40,18111,1566,13093,32770,11176,832,6055,18063
41,17548,1523,12839,31910,10776,752,5809,17337
42,16900,1544,12788,31232,10330,838,5907,17075
43,15900,1548,13794,31242,9714,879,6647,17240
44,16010,1486,14477,31973,9582,885,6935,17402
45,15484,1432,13737,30653,9427,889,6874,17190
46,12371,1208,11110,24689,7748,809,5812,14369
