win,female_commit,male_commit,all_commit
1,212,3080,4672
2,156,3296,4415
3,81,2618,4130
4,232,3322,5630
5,370,4289,6848
6,168,3160,5083
7,260,4019,5883
8,360,4181,6699
9,309,5690,8710
10,355,6507,9450
11,394,6698,10190
12,416,9353,13861
13,274,13956,18066
14,282,14277,20273
15,363,16264,22776
16,395,19081,25135
17,212,23885,32496
18,144,25369,32396
19,532,32778,41472
20,829,30868,40036
21,902,50455,62612
22,802,51652,65643
23,2155,69975,90775
24,1476,78576,100547
25,2249,92529,122206
26,2185,100650,130107
27,2354,102866,133152
28,2626,104284,139819
29,4180,133453,178572
30,4869,129476,174119
31,4820,131163,176468
32,5249,140164,188022
33,5011,158588,214584
34,4080,161080,224003
35,3983,157248,224187
36,5258,174068,243347
37,5602,203280,279684
38,5913,206553,283976
39,6589,204852,288336
40,5829,206454,287698
41,5889,212745,295664
42,6620,208820,295775
43,5720,208935,298296
44,6528,213353,312183
45,6700,212133,317236
46,6074,154776,236040
47,1218,42509,65075
48,2685,74490,118146
49,7085,182579,302106
50,5864,180650,305028
51,7220,150132,266323
52,6313,137198,239039
53,4606,87569,153466
54,0,0,0
55,0,0,0
56,0,0,1
