win,female_commit,male_commit,all_commit
1,0,11,129
2,0,418,469
3,0,680,768
4,0,638,782
5,0,1042,1132
6,0,1325,1467
7,2,1614,1808
8,16,1939,2223
9,14,1489,1809
10,4,1448,2108
11,22,2609,3082
12,35,3068,3918
13,84,4108,5298
14,87,5068,6666
15,40,6471,8798
16,85,7514,9531
17,143,11121,14247
18,164,12630,16355
19,277,17113,22819
20,256,17883,23050
21,252,24824,31555
22,301,27528,35855
23,519,34387,44896
24,979,43493,55925
25,1172,48930,64648
26,1375,54541,72815
27,1243,52674,70102
28,1904,52589,72081
29,2143,71670,95134
30,2116,82045,112907
31,2348,83384,117375
32,2359,86541,125295
33,3004,98560,145725
34,3037,94175,150687
35,3772,104961,169422
36,3913,101936,161872
37,4469,100015,160717
38,3839,94426,156824
39,3171,98909,165487
40,3079,96963,164336
41,3220,94532,156120
42,4432,90262,161073
43,4543,93450,161119
44,4831,92095,160876
45,3535,85097,144217
46,2665,65551,114615
47,1030,12495,21859
48,1474,22777,41368
49,3598,58280,107665
50,3385,57812,108139
51,3407,50164,94474
52,2535,41984,78672
53,1311,26620,49979
54,0,0,0
55,0,0,0
56,0,0,0
