win,female_commit,male_commit,all_commit
1,865,41906,61121
2,1290,51951,70694
3,1698,56920,77898
4,1030,64855,87252
5,1881,83239,110361
6,2044,87152,113237
7,1917,92715,120919
8,2317,112652,147405
9,2574,137307,178336
10,3644,144208,189375
11,4134,188064,240968
12,5234,214964,281012
13,5421,271457,346345
14,5949,323276,418815
15,7799,381156,488777
16,8093,429172,547489
17,12611,584939,753174
18,13116,623692,795452
19,17060,828320,1064790
20,14509,726716,928689
21,23129,1127855,1450991
22,26803,1191084,1550986
23,41817,1482870,1964910
24,43136,1676678,2221469
25,54409,2006406,2664524
26,58301,2129086,2816355
27,68708,2323097,3083191
28,76442,2481993,3324781
29,95712,3009411,4046659
30,101929,3024548,4102344
31,108585,3009233,4095885
32,101901,3113043,4262210
33,118025,3567423,4937319
34,126566,3411602,4751631
35,131935,3348682,4761459
36,137761,3540467,4989660
37,162363,3981740,5606571
38,175716,3921947,5637056
39,197421,4033870,5883383
40,175117,4108372,5961582
41,206859,4418038,6419239
42,216615,4338079,6378138
43,218309,4355306,6465626
44,222962,4448467,6658602
45,217324,4342965,6531132
46,161993,3059053,4726514
47,35097,718252,1101713
48,65651,1296423,2092174
49,199755,3689952,6153381
50,192443,3523100,5968236
51,171854,2938192,5090478
52,141638,2525276,4362801
53,94966,1693975,2926134
54,0,3,12
55,0,0,7
56,0,1,6
