win,female_commit,male_commit,all_commit
1,0,0,17
2,0,1,2
3,0,20,20
4,0,11,16
5,0,32,38
6,0,26,41
7,0,67,80
8,0,33,54
9,0,94,98
10,7,43,87
11,5,160,239
12,8,63,160
13,11,105,180
14,2,627,809
15,8,572,715
16,3,824,973
17,24,1436,1809
18,24,1965,2376
19,12,3088,3550
20,12,3236,3821
21,51,5109,6105
22,13,5789,7326
23,64,7975,10859
24,29,9553,12133
25,64,10618,13724
26,226,10425,13832
27,241,12080,15960
28,555,15200,20875
29,667,15868,23439
30,473,17337,23357
31,209,14386,19366
32,261,14594,18820
33,386,17418,22962
34,403,15488,19643
35,431,14435,18342
36,383,15158,19144
37,459,18559,22669
38,264,17247,21287
39,445,16780,20568
40,474,14184,18085
41,591,14260,19438
42,699,13085,18371
43,827,13481,18683
44,435,13909,18589
45,601,10101,15117
46,306,7707,11711
47,7,2206,3532
48,46,3618,5204
49,103,8298,13384
50,75,7930,12063
51,207,7091,11071
52,93,5785,9259
53,160,3369,6375
54,0,0,0
55,0,0,0
56,0,0,0
