win,female_commit,male_commit,all_commit
1,0,0,4
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,2
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,4,4
17,0,100,100
18,0,187,204
19,11,1115,1241
20,39,1485,1981
21,93,3178,3794
22,85,3160,4021
23,68,3391,4239
24,257,4478,6503
25,218,5310,7341
26,224,5782,7788
27,139,5445,8070
28,249,6710,8829
29,591,9781,13021
30,608,12508,16763
31,429,11600,14933
32,482,10653,13232
33,520,8681,11370
34,399,9029,12051
35,388,8450,11312
36,462,9992,12699
37,735,12994,17208
38,1234,12776,17455
39,679,13017,17342
40,721,13737,18947
41,1543,17019,23808
42,1962,19477,28854
43,1601,23647,34841
44,1740,25134,38692
45,1874,33024,50967
46,1149,24169,38354
47,214,6591,10540
48,577,11323,20385
49,1443,30942,57144
50,1492,32412,56657
51,1071,26644,47837
52,986,23556,40964
53,721,17577,30162
54,0,0,0
55,0,0,0
56,0,0,0
