win,female_commit,male_commit,all_commit
1,0,230,251
2,0,384,405
3,0,828,979
4,18,839,948
5,44,359,452
6,107,1161,1317
7,6,658,695
8,4,389,413
9,6,911,1055
10,10,685,902
11,49,1621,2008
12,53,1798,1984
13,18,1499,1897
14,4,2053,2269
15,39,2914,3288
16,3,3212,3533
17,5,4869,5306
18,117,4258,5098
19,155,7531,8919
20,466,5917,7403
21,602,11021,14582
22,637,12400,16286
23,1048,16237,22376
24,1548,20224,27664
25,1611,23163,32132
26,1611,22867,30161
27,1747,30223,39900
28,1866,37076,48383
29,1849,36100,49678
30,1626,35688,49027
31,1023,33642,44942
32,1060,30644,40733
33,1864,29827,41281
34,1343,23005,31836
35,915,18055,25196
36,922,17864,24597
37,876,14313,20498
38,749,10094,14542
39,533,9017,12811
40,436,9388,13001
41,553,7757,11156
42,830,6085,8861
43,883,5167,8486
44,333,5369,7956
45,247,4885,7424
46,204,3320,5307
47,31,1327,1796
48,68,1488,2649
49,164,3267,6438
50,137,4151,8090
51,182,3592,6129
52,59,2293,4517
53,69,1425,3070
54,0,0,0
55,0,0,0
56,0,0,0
