win,female_commit,male_commit,all_commit
1,0,9,72
2,0,25,26
3,0,28,28
4,0,104,104
5,0,75,76
6,0,75,82
7,0,125,149
8,0,518,564
9,13,411,430
10,51,862,929
11,40,1009,1070
12,0,694,720
13,4,907,1498
14,6,721,1018
15,10,888,948
16,0,921,1297
17,1,1286,1997
18,5,1493,2110
19,47,1888,2525
20,11,2430,2999
21,62,2344,3118
22,20,3009,4776
23,9,3706,5818
24,17,3930,5906
25,12,4611,6374
26,33,5903,8309
27,34,7665,10623
28,12,7172,9595
29,112,7810,11148
30,115,10093,12893
31,149,12799,16887
32,142,14006,18493
33,309,18210,24112
34,772,20826,27839
35,755,24226,31070
36,592,22566,30047
37,258,26984,34906
38,223,23848,32211
39,531,27507,35433
40,585,23544,31136
41,849,27110,35553
42,676,26640,34536
43,668,26575,35000
44,443,26963,34945
45,338,24725,32339
46,390,15765,21669
47,37,3604,5004
48,172,6366,9298
49,385,18502,25186
50,452,17006,23478
51,241,11712,16584
52,476,12714,17897
53,172,7823,10684
54,0,0,0
55,0,0,0
56,0,0,0
