win,female_commit,male_commit,all_commit
1,0,820,1700
2,0,769,1917
3,0,1210,1894
4,0,1019,1748
5,32,1703,2516
6,13,1733,2505
7,35,1730,2528
8,33,2935,3931
9,40,4693,5859
10,107,4605,5756
11,83,5303,6603
12,99,5728,7746
13,116,6635,8911
14,102,6868,7972
15,78,7963,9808
16,205,10966,13629
17,221,13783,17568
18,189,14799,17789
19,293,16966,20330
20,356,15108,18928
21,670,23209,28651
22,567,22076,27286
23,418,24615,30261
24,259,27047,33266
25,490,32028,38633
26,381,30698,37340
27,458,31998,38790
28,380,35206,42456
29,423,41281,50969
30,574,38779,48159
31,610,38869,48857
32,537,37620,48071
33,766,45995,58416
34,1320,41587,55014
35,1092,39780,50116
36,796,39248,49759
37,853,40023,51201
38,714,35905,46982
39,760,38810,50096
40,994,39197,51467
41,887,37074,49742
42,912,35703,47991
43,975,32757,45344
44,890,33694,46424
45,992,30325,42983
46,561,18236,26491
47,255,4770,7495
48,351,8321,12303
49,700,21203,33634
50,992,20245,32117
51,849,19129,29126
52,646,14494,22094
53,756,9467,16262
54,0,0,0
55,0,0,0
56,0,0,0
