win,female_commit,male_commit,all_commit
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,1
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,2
16,0,0,0
17,9,33,45
18,2,486,492
19,1,798,819
20,3,699,754
21,5,991,1091
22,3,898,979
23,20,1537,1636
24,5,2668,2723
25,172,10438,12027
26,148,9774,12421
27,289,10291,13632
28,238,9536,12706
29,450,16051,21979
30,854,20649,29654
31,563,19947,30415
32,532,18132,26660
33,723,21306,30754
34,660,20308,30306
35,548,19952,29396
36,1013,19300,29670
37,839,24892,36621
38,1080,20645,29269
39,1097,18976,27773
40,640,17423,24525
41,768,16523,23440
42,980,13879,20041
43,541,10789,16150
44,978,10056,15238
45,541,8407,11681
46,505,5703,8602
47,64,969,1400
48,89,1593,2375
49,173,4620,7740
50,80,3465,6155
51,29,3002,5785
52,22,2471,4940
53,19,1691,3335
54,0,0,0
55,0,0,0
56,0,0,0
