win,female_commit,male_commit,all_commit
1,2,5540,8607
2,0,6371,9390
3,4,6874,9723
4,29,7495,10092
5,70,8819,11911
6,74,10665,13272
7,131,11376,15381
8,79,11509,15163
9,107,14716,19058
10,98,16209,21062
11,145,20216,25398
12,102,23543,30482
13,52,28899,36597
14,224,34012,44022
15,461,46472,57198
16,410,53019,65658
17,1242,70179,91438
18,1769,91670,113420
19,1970,114724,146964
20,1302,93902,119142
21,2297,152057,198749
22,2892,156981,209831
23,4172,177534,245724
24,4405,204784,284132
25,5406,254642,346076
26,5401,247374,337727
27,5579,265527,364489
28,6882,297643,404903
29,8540,365895,500265
30,8807,344051,482054
31,9682,328901,463444
32,8858,337089,483635
33,9773,374480,537143
34,10616,373886,538412
35,11754,370682,539224
36,10378,378565,553521
37,11776,432578,638901
38,11596,380746,578775
39,11816,405720,607622
40,11309,407581,624905
41,12711,442079,665005
42,10548,391461,596962
43,11593,373806,588466
44,12682,396772,618470
45,10982,408469,620056
46,8180,264579,423358
47,2043,65698,97592
48,3810,121314,190150
49,9739,325965,531133
50,10627,288994,481414
51,9537,250435,418211
52,7040,247497,408206
53,4774,154998,254943
54,0,0,0
55,0,0,1
56,0,0,1
