win,female_commit,male_commit,all_commit
1,82,21243,30777
2,128,19550,28628
3,126,19387,27833
4,172,19535,28854
5,173,22371,33259
6,132,23547,33171
7,55,24425,38608
8,43,26152,40611
9,203,28334,47940
10,260,34127,55301
11,560,25958,50605
12,504,28371,51700
13,877,35755,61147
14,719,35527,61151
15,855,42043,67055
16,528,47357,73362
17,817,61096,95780
18,748,65303,97520
19,1030,83519,128603
20,774,67437,106674
21,1533,93238,149974
22,1706,91460,148964
23,1818,116845,187237
24,2277,125291,222340
25,3460,148469,251005
26,3174,144652,242027
27,4128,150245,252936
28,3954,166524,284969
29,3968,195240,351523
30,5458,205917,394741
31,6133,205965,432720
32,6916,222363,469334
33,13953,256498,509616
34,9060,232598,446449
35,7339,212713,408643
36,8413,225516,420663
37,10210,251156,476122
38,10362,231685,421629
39,9292,230416,401969
40,9033,215465,397962
41,10471,245766,446411
42,10902,228193,416352
43,10478,216224,404096
44,10109,221292,417898
45,9425,205951,389998
46,7934,153710,293585
