win,female_commit,male_commit,all_commit
1,0,136,136
2,0,734,734
3,0,1835,1931
4,0,2359,2515
5,0,2059,2194
6,0,2553,2699
7,0,4047,4424
8,0,5891,6718
9,6,3807,4352
10,0,2973,3635
11,0,4511,5691
12,1,3707,4724
13,271,5934,7535
14,53,6785,8409
15,178,7010,8876
16,43,9304,11638
17,545,13989,18514
18,468,10194,13989
19,896,15482,22374
20,564,15841,22639
21,734,24747,34628
22,900,30762,41026
23,1082,40698,55144
24,966,46124,61489
25,1075,58882,83604
26,1673,74252,103298
27,2126,90624,123140
28,2982,106381,149187
29,3676,151672,214973
30,4876,172246,241454
31,5003,179763,252189
32,10431,196449,280815
33,13772,237744,342243
34,9604,224395,317121
35,7721,210063,309079
36,7817,225038,320315
37,8931,258007,367652
38,9027,252056,368545
39,12785,256568,385933
40,10313,243659,378987
41,11564,280938,429142
42,12376,292782,463650
43,12752,309786,506130
44,13737,302472,514675
45,15035,302371,501220
46,12008,228289,385420
