win,female_commit,male_commit,all_commit
1,2606,48092,121159
2,2926,48677,148703
3,3562,50142,129204
4,2898,49472,129283
5,3430,56820,147967
6,3879,66684,158526
7,3259,77409,174516
8,3261,85368,179931
9,4037,92282,188602
10,4079,94918,194136
11,4411,109413,216149
12,4838,125872,235225
13,5590,162220,279955
14,6506,166655,297766
15,7162,187664,326520
16,8445,209025,366291
17,11801,262233,458465
18,11262,269274,475637
19,14503,346883,610786
20,13045,312086,555138
21,16364,427450,765361
22,19852,456665,845436
23,20707,506966,919485
24,27484,606011,1150231
25,29193,655934,1230758
26,33810,673439,1281563
27,32096,658944,1185093
28,39325,785454,1474027
29,41926,852551,1569577
30,51601,925926,1780582
31,44785,812107,1506644
32,50821,928434,1831390
33,48713,956820,1767655
34,46178,842372,1565710
35,36433,742065,1349077
36,43707,786959,1485736
37,49917,897836,1709600
38,44909,781682,1477576
39,41121,721213,1334754
40,42656,758051,1429452
41,52290,808858,1526401
42,50904,744197,1449684
43,45642,692014,1407703
44,51922,755792,1703779
45,49583,691200,1568185
46,36241,496773,1174156
