win,female_commit,male_commit,all_commit
1,1096,19966,53340
2,978,20308,51916
3,530,23537,59354
4,699,29597,69776
5,926,32605,73083
6,797,35010,73577
7,910,37706,83677
8,831,38412,82275
9,1249,52557,110679
10,1348,54842,111613
11,2294,63266,119463
12,1532,71426,134766
13,2034,92102,163952
14,2405,104316,178111
15,2982,123078,205753
16,2549,132863,219248
17,3990,168235,278789
18,4647,198413,316275
19,6063,255961,419565
20,4555,214184,352668
21,9825,296819,490803
22,7608,296662,503095
23,10287,336874,586604
24,12450,371281,651675
25,16793,429560,749852
26,17258,409111,726211
27,16648,409621,724172
28,18922,472300,845342
29,21013,541892,934496
30,22004,515136,922817
31,21984,507687,904682
32,25228,515356,961803
33,21767,539339,964697
34,21808,465979,828718
35,22120,437084,765274
36,19697,433032,780402
37,21266,478855,1518217
38,18989,411895,1032620
39,18622,405220,695493
40,18394,396919,700360
41,18127,417235,726048
42,19723,394342,705894
43,15576,346029,646745
44,20250,369776,691038
45,17570,342284,642721
46,13854,251366,477760
