win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,72,0,1,0,19,92,68,0,1,0,17,86
2,103,0,3,0,22,128,99,0,2,0,21,122
3,110,0,3,0,42,155,105,0,3,0,40,148
4,133,0,4,0,47,184,123,0,4,0,44,171
5,156,0,5,0,60,221,141,0,5,0,56,202
6,162,0,9,0,64,235,148,0,9,0,61,218
7,187,0,5,0,67,259,175,0,5,0,64,244
8,273,0,5,0,85,363,252,0,5,0,81,338
9,414,0,6,0,140,560,395,0,6,0,137,538
10,516,0,16,0,190,722,494,0,16,0,180,690
11,811,0,22,0,313,1146,779,0,22,0,305,1106
12,1090,0,24,0,360,1474,1036,0,24,0,344,1404
13,1459,0,33,0,424,1916,1389,0,33,0,405,1827
14,1996,0,39,0,573,2608,1887,0,39,0,548,2474
15,2512,0,58,0,748,3318,2382,0,56,0,707,3145
16,3008,0,65,0,784,3857,2806,0,59,0,715,3580
17,4237,0,73,0,1122,5432,3961,0,66,0,1026,5053
18,4317,0,106,0,1183,5606,3962,0,101,0,1083,5146
19,5290,0,111,0,1542,6943,4858,0,103,0,1392,6353
20,5922,0,129,0,1722,7773,5410,0,122,0,1550,7082
21,8402,0,202,0,2344,10948,7584,0,184,0,2055,9823
22,9231,0,205,0,2698,12134,8129,0,174,0,2336,10639
23,10855,0,289,0,3463,14607,9378,0,264,0,2920,12562
24,11811,0,309,0,3861,15981,10077,0,276,0,3235,13588
25,14008,0,379,0,4416,18803,11697,0,330,0,3671,15698
26,14731,0,466,0,4766,19963,12126,0,393,0,3785,16304
27,15822,0,512,0,5300,21634,12797,0,420,0,4155,17372
28,16907,0,531,0,5727,23165,13437,0,421,0,4416,18274
29,19687,0,646,0,6510,26843,15599,0,514,0,4988,21101
30,19872,0,685,0,6913,27470,15675,0,541,0,5178,21394
31,20109,0,726,0,7196,28031,15794,0,574,0,5384,21752
32,19917,0,713,0,7525,28155,15759,0,577,0,5575,21911
33,20947,0,771,0,7626,29344,16610,0,637,0,5777,23024
34,19296,0,766,0,7255,27317,15361,0,622,0,5498,21481
35,17580,0,716,0,6963,25259,14056,0,563,0,5263,19882
36,17604,0,719,0,7106,25429,14302,0,608,0,5574,20484
37,17919,0,731,0,7244,25894,14725,0,614,0,5863,21202
38,16359,0,741,0,6959,24059,13682,0,619,0,5717,20018
39,15184,0,667,0,6732,22583,12749,0,573,0,5593,18915
40,14159,0,680,0,6511,21350,12077,0,589,0,5527,18193
41,13596,0,620,0,6134,20350,11642,0,547,0,5251,17440
42,12134,0,617,0,5636,18387,10515,0,547,0,4908,15970
43,11073,0,571,0,5320,16964,9690,0,523,0,4711,14924
44,10807,0,570,0,5364,16741,9559,0,518,0,4780,14857
45,9553,0,524,0,4532,14609,8495,0,479,0,4037,13011
46,7466,0,386,0,3768,11620,6574,0,358,0,3376,10308
47,3399,0,171,0,1663,5233,2972,0,151,0,1490,4613
48,4559,0,222,0,2578,7359,4022,0,205,0,2310,6537
49,6813,0,342,0,4993,12148,6123,0,313,0,4627,11063
50,6847,0,326,0,5149,12322,6162,0,302,0,4714,11178
51,5952,0,304,0,4849,11105,5334,0,280,0,4480,10094
52,5196,0,282,0,4466,9944,4689,0,265,0,4145,9099
53,3773,0,216,0,3070,7059,3409,0,204,0,2865,6478
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
