win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,1,1,0,0,0,0,1,1
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,5,0,1,0,1,7,4,0,1,0,1,6
18,12,0,1,0,1,14,11,0,1,0,1,13
19,22,0,1,0,3,26,20,0,1,0,2,23
20,52,0,2,0,11,65,51,0,2,0,11,64
21,62,0,1,0,19,82,59,0,1,0,19,79
22,63,0,2,0,13,78,63,0,2,0,13,78
23,70,0,2,0,22,94,70,0,2,0,22,94
24,69,0,2,0,14,85,68,0,2,0,14,84
25,640,0,14,0,127,781,468,0,9,0,84,561
26,724,0,18,0,170,912,552,0,12,0,107,671
27,717,0,14,0,201,932,540,0,11,0,133,684
28,695,0,15,0,190,900,528,0,13,0,117,658
29,1159,0,29,0,321,1509,862,0,20,0,193,1075
30,1621,0,40,0,477,2138,1064,0,30,0,275,1369
31,1507,0,36,0,494,2037,1030,0,25,0,271,1326
32,1542,0,46,0,498,2086,1080,0,30,0,295,1405
33,1637,0,40,0,543,2220,1083,0,23,0,298,1404
34,1546,0,51,0,584,2181,1003,0,31,0,307,1341
35,1488,0,35,0,523,2046,925,0,23,0,278,1226
36,1499,0,56,0,551,2106,953,0,40,0,292,1285
37,1967,0,70,0,661,2698,1211,0,34,0,339,1584
38,1673,0,57,0,579,2309,1010,0,29,0,303,1342
39,1392,0,49,0,517,1958,865,0,32,0,263,1160
40,1332,0,48,0,513,1893,836,0,30,0,279,1145
41,1123,0,43,0,483,1649,678,0,29,0,241,948
42,1004,0,51,0,429,1484,612,0,25,0,218,855
43,904,0,38,0,387,1329,549,0,24,0,200,773
44,778,0,26,0,395,1199,475,0,16,0,225,716
45,586,0,23,0,329,938,323,0,17,0,169,509
46,438,0,22,0,250,710,261,0,17,0,148,426
47,183,0,11,0,90,284,115,0,7,0,49,171
48,256,0,10,0,142,408,157,0,6,0,88,251
49,342,0,13,0,260,615,209,0,6,0,166,381
50,323,0,16,0,271,610,198,0,14,0,193,405
51,236,0,9,0,217,462,159,0,8,0,152,319
52,220,0,7,0,199,426,139,0,7,0,143,289
53,135,0,6,0,131,272,86,0,5,0,99,190
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
