win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,258,0,10,0,121,389,240,0,8,0,101,349
2,538,0,11,0,139,688,478,0,6,0,105,589
3,774,0,16,0,153,943,682,0,13,0,127,822
4,981,0,17,0,198,1196,887,0,16,0,169,1072
5,1245,0,27,0,257,1529,1109,0,23,0,218,1350
6,1386,0,25,0,287,1698,1202,0,20,0,244,1466
7,1531,0,24,0,319,1874,1356,0,21,0,270,1647
8,1881,0,30,0,400,2311,1606,0,28,0,319,1953
9,2188,0,36,0,438,2662,1848,0,29,0,343,2220
10,2340,0,49,0,453,2842,1961,0,43,0,358,2362
11,2840,0,68,0,552,3460,2398,0,55,0,455,2908
12,3397,0,71,0,662,4130,2865,0,61,0,529,3455
13,4171,0,82,0,784,5037,3508,0,66,0,654,4228
14,4883,0,107,0,944,5934,4170,0,94,0,765,5029
15,5559,0,141,0,1094,6794,4686,0,113,0,879,5678
16,6031,0,132,0,1206,7369,4987,0,107,0,928,6022
17,8046,0,183,0,1693,9922,6478,0,144,0,1280,7902
18,8242,0,183,0,1732,10157,6645,0,125,0,1284,8054
19,9262,0,241,0,2199,11702,7284,0,175,0,1598,9057
20,8933,0,209,0,2012,11154,7187,0,158,0,1525,8870
21,11494,0,274,0,2743,14511,9117,0,201,0,2008,11326
22,11550,0,313,0,2921,14784,9181,0,236,0,2126,11543
23,12584,0,365,0,3298,16247,9909,0,281,0,2401,12591
24,12911,0,380,0,3328,16619,10096,0,274,0,2324,12694
25,13876,0,410,0,3293,17579,10972,0,319,0,2353,13644
26,13556,0,454,0,3268,17278,10602,0,366,0,2369,13337
27,13472,0,469,0,3352,17293,10567,0,386,0,2398,13351
28,13708,0,482,0,3582,17772,10721,0,383,0,2602,13706
29,14591,0,514,0,3937,19042,11336,0,415,0,2873,14624
30,14379,0,526,0,3905,18810,11148,0,419,0,2828,14395
31,13319,0,585,0,3696,17600,10330,0,444,0,2618,13392
32,13450,0,560,0,3713,17723,10324,0,432,0,2618,13374
33,14327,0,603,0,3806,18736,11015,0,456,0,2740,14211
34,13275,0,587,0,3613,17475,10089,0,448,0,2598,13135
35,12800,0,552,0,3492,16844,9818,0,424,0,2452,12694
36,12468,0,570,0,3651,16689,9489,0,440,0,2621,12550
37,12813,0,562,0,3764,17139,9883,0,430,0,2785,13098
38,12148,0,601,0,3710,16459,9383,0,481,0,2750,12614
39,11689,0,625,0,3607,15921,8992,0,500,0,2713,12205
40,11367,0,602,0,3787,15756,8691,0,495,0,2827,12013
41,11372,0,631,0,3891,15894,8627,0,502,0,2935,12064
42,10713,0,613,0,3794,15120,8209,0,476,0,2891,11576
43,9874,0,594,0,3848,14316,7582,0,479,0,2985,11046
44,9988,0,563,0,3714,14265,7597,0,452,0,2830,10879
45,9519,0,514,0,3605,13638,7255,0,406,0,2741,10402
46,7731,0,404,0,2912,11047,5926,0,332,0,2206,8464
47,4260,0,202,0,1440,5902,3268,0,167,0,1011,4446
48,5773,0,315,0,2406,8494,4374,0,261,0,1778,6413
49,7959,0,448,0,4468,12875,6137,0,376,0,3618,10131
50,7613,0,452,0,4556,12621,6054,0,373,0,3838,10265
51,6653,0,400,0,4236,11289,5325,0,347,0,3636,9308
52,5868,0,325,0,3534,9727,4710,0,282,0,2989,7981
53,4724,0,280,0,2914,7918,3820,0,245,0,2489,6554
54,1,0,0,0,0,1,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
