win,male_all,male_likely_all,female_all,female_likely_all,unknown_all,all_all,male_core,male_likely_core,female_core,female_likely_core,unknown_core,all_core
1,9,0,0,0,9,18,9,0,0,0,9,18
2,9,0,0,0,11,20,9,0,0,0,11,20
3,18,0,0,0,12,30,17,0,0,0,11,28
4,25,0,0,0,11,36,24,0,0,0,11,35
5,31,0,1,0,14,46,29,0,1,0,14,44
6,58,0,1,0,18,77,57,0,1,0,17,75
7,78,0,1,0,24,103,75,0,1,0,23,99
8,142,0,4,0,27,173,138,0,4,0,26,168
9,207,0,7,0,43,257,200,0,7,0,41,248
10,227,0,6,0,45,278,214,0,5,0,41,260
11,299,0,10,0,54,363,276,0,8,0,50,334
12,346,0,6,0,64,416,318,0,6,0,58,382
13,386,0,9,0,73,468,352,0,9,0,67,428
14,423,0,7,0,78,508,392,0,7,0,74,473
15,509,0,11,0,102,622,466,0,10,0,98,574
16,612,0,11,0,134,757,544,0,10,0,118,672
17,779,0,13,0,173,965,664,0,12,0,138,814
18,848,0,15,0,184,1047,726,0,14,0,156,896
19,918,0,19,0,221,1158,794,0,14,0,189,997
20,996,0,18,0,228,1242,850,0,16,0,190,1056
21,1188,0,33,0,320,1541,997,0,29,0,255,1281
22,1212,0,32,0,325,1569,1017,0,25,0,264,1306
23,1330,0,29,0,392,1751,1088,0,27,0,316,1431
24,1524,0,33,0,405,1962,1243,0,27,0,322,1592
25,1682,0,36,0,434,2152,1394,0,28,0,354,1776
26,1747,0,35,0,460,2242,1444,0,31,0,380,1855
27,1834,0,45,0,493,2372,1534,0,41,0,401,1976
28,1975,0,42,0,538,2555,1627,0,33,0,432,2092
29,2199,0,52,0,575,2826,1852,0,44,0,468,2364
30,2181,0,47,0,576,2804,1863,0,42,0,479,2384
31,2385,0,57,0,610,3052,2043,0,55,0,495,2593
32,2410,0,57,0,642,3109,2043,0,52,0,532,2627
33,2490,0,71,0,692,3253,2135,0,68,0,576,2779
34,2403,0,75,0,757,3235,2060,0,69,0,643,2772
35,2421,0,80,0,675,3176,2092,0,76,0,582,2750
36,2381,0,76,0,699,3156,2048,0,66,0,599,2713
37,2623,0,85,0,757,3465,2259,0,78,0,661,2998
38,2463,0,95,0,745,3303,2111,0,89,0,639,2839
39,2446,0,94,0,824,3364,2113,0,88,0,714,2915
40,2326,0,82,0,773,3181,2005,0,74,0,665,2744
41,2252,0,86,0,731,3069,1955,0,76,0,604,2635
42,2148,0,82,0,731,2961,1840,0,73,0,622,2535
43,2005,0,91,0,755,2851,1719,0,85,0,658,2462
44,2027,0,83,0,810,2920,1738,0,73,0,688,2499
45,1891,0,85,0,723,2699,1616,0,77,0,632,2325
46,1444,0,62,0,576,2082,1231,0,54,0,491,1776
47,757,0,33,0,309,1099,672,0,32,0,273,977
48,1014,0,40,0,466,1520,890,0,34,0,412,1336
49,1375,0,61,0,862,2298,1208,0,58,0,779,2045
50,1364,0,65,0,848,2277,1197,0,61,0,765,2023
51,1174,0,58,0,765,1997,1036,0,54,0,698,1788
52,1058,0,46,0,695,1799,930,0,44,0,644,1618
53,789,0,38,0,538,1365,691,0,37,0,473,1201
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
