,data,name
0,671,Unknown
0,735,Unknown
0,871,Unknown
0,935,Unknown
0,1125,Unknown
0,1182,Unknown
0,1285,Unknown
0,1499,Unknown
0,1752,Unknown
0,1872,Unknown
0,2280,Unknown
0,2686,Unknown
0,3138,Unknown
0,3813,Unknown
0,4454,Unknown
0,5087,Unknown
0,7056,Unknown
0,7665,Unknown
0,9901,Unknown
0,10365,Unknown
0,14119,Unknown
0,15865,Unknown
0,19211,Unknown
0,21473,Unknown
0,24790,Unknown
0,26845,Unknown
0,30222,Unknown
0,33001,Unknown
0,38836,Unknown
0,41655,Unknown
0,43303,Unknown
0,47673,Unknown
0,52313,Unknown
0,53820,Unknown
0,55655,Unknown
0,60419,Unknown
0,64837,Unknown
0,69074,Unknown
0,73321,Unknown
0,77060,Unknown
0,81058,Unknown
0,83739,Unknown
0,87407,Unknown
0,92051,Unknown
0,91846,Unknown
1,1309,Male
1,1848,Male
1,2237,Male
1,2602,Male
1,3264,Male
1,3537,Male
1,3939,Male
1,4816,Male
1,5897,Male
1,6541,Male
1,8107,Male
1,9753,Male
1,12311,Male
1,15188,Male
1,17844,Male
1,20464,Male
1,27075,Male
1,29406,Male
1,34929,Male
1,36568,Male
1,47195,Male
1,51517,Male
1,58783,Male
1,64011,Male
1,74125,Male
1,78745,Male
1,84447,Male
1,90500,Male
1,103799,Male
1,108830,Male
1,111221,Male
1,117966,Male
1,129231,Male
1,129819,Male
1,130713,Male
1,135715,Male
1,146357,Male
1,147191,Male
1,150865,Male
1,156176,Male
1,162510,Male
1,161787,Male
1,160435,Male
1,164689,Male
1,162174,Male
2,39,Female
2,40,Female
2,53,Female
2,50,Female
2,73,Female
2,80,Female
2,89,Female
2,95,Female
2,112,Female
2,155,Female
2,195,Female
2,216,Female
2,270,Female
2,321,Female
2,401,Female
2,449,Female
2,563,Female
2,661,Female
2,857,Female
2,851,Female
2,1168,Female
2,1319,Female
2,1604,Female
2,1776,Female
2,2149,Female
2,2413,Female
2,2738,Female
2,2942,Female
2,3413,Female
2,3821,Female
2,4103,Female
2,4336,Female
2,4866,Female
2,5130,Female
2,5350,Female
2,5654,Female
2,6131,Female
2,6572,Female
2,7022,Female
2,7340,Female
2,7633,Female
2,7992,Female
2,8185,Female
2,8408,Female
2,8362,Female
