,data,name
0,,Atom
0,,Atom
0,,Atom
0,,Atom
0,,Atom
0,,Atom
0,,Atom
0,,Atom
0,,Atom
0,,Atom
0,0.0,Atom
0,,Atom
0,,Atom
0,,Atom
0,0.0,Atom
0,,Atom
0,14.29,Atom
0,7.14,Atom
0,3.85,Atom
0,3.08,Atom
0,1.22,Atom
0,2.56,Atom
0,2.13,Atom
0,2.35,Atom
0,1.79,Atom
0,1.97,Atom
0,1.5,Atom
0,1.67,Atom
0,1.92,Atom
0,1.87,Atom
0,1.77,Atom
0,2.21,Atom
0,1.8,Atom
0,2.34,Atom
0,1.71,Atom
0,2.66,Atom
0,2.59,Atom
0,2.47,Atom
0,2.5,Atom
0,2.54,Atom
0,2.61,Atom
0,3.44,Atom
0,2.86,Atom
0,2.17,Atom
0,2.45,Atom
1,1.09,Bower
1,2.34,Bower
1,1.94,Bower
1,2.17,Bower
1,2.26,Bower
1,3.83,Bower
1,1.93,Bower
1,1.38,Bower
1,1.07,Bower
1,2.22,Bower
1,1.92,Bower
1,1.63,Bower
1,1.72,Bower
1,1.5,Bower
1,1.75,Bower
1,1.69,Bower
1,1.34,Bower
1,1.89,Bower
1,1.6,Bower
1,1.66,Bower
1,1.85,Bower
1,1.69,Bower
1,1.98,Bower
1,1.93,Bower
1,2.02,Bower
1,2.33,Bower
1,2.37,Bower
1,2.29,Bower
1,2.41,Bower
1,2.49,Bower
1,2.59,Bower
1,2.53,Bower
1,2.63,Bower
1,2.8,Bower
1,2.83,Bower
1,2.83,Bower
1,2.82,Bower
1,3.08,Bower
1,2.95,Bower
1,3.19,Bower
1,3.05,Bower
1,3.36,Bower
1,3.37,Bower
1,3.4,Bower
1,3.59,Bower
2,4.17,CPAN
2,2.29,CPAN
2,2.8,CPAN
2,2.0,CPAN
2,2.29,CPAN
2,2.09,CPAN
2,3.12,CPAN
2,4.23,CPAN
2,2.69,CPAN
2,2.22,CPAN
2,3.51,CPAN
2,3.16,CPAN
2,4.56,CPAN
2,3.15,CPAN
2,3.49,CPAN
2,4.29,CPAN
2,3.4,CPAN
2,3.51,CPAN
2,2.44,CPAN
2,3.07,CPAN
2,3.04,CPAN
2,3.35,CPAN
2,3.45,CPAN
2,3.47,CPAN
2,3.13,CPAN
2,3.24,CPAN
2,2.81,CPAN
2,2.7,CPAN
2,2.54,CPAN
2,3.2,CPAN
2,2.62,CPAN
2,2.6,CPAN
2,2.78,CPAN
2,3.05,CPAN
2,3.42,CPAN
2,2.95,CPAN
2,3.06,CPAN
2,2.88,CPAN
2,2.13,CPAN
2,2.42,CPAN
2,2.89,CPAN
2,3.39,CPAN
2,2.7,CPAN
2,2.41,CPAN
2,2.38,CPAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,0.0,CRAN
3,1.89,CRAN
3,1.67,CRAN
3,1.3,CRAN
3,2.02,CRAN
3,2.52,CRAN
3,4.32,CRAN
3,3.39,CRAN
3,3.14,CRAN
3,3.63,CRAN
3,2.73,CRAN
3,3.13,CRAN
3,3.28,CRAN
3,3.51,CRAN
3,3.72,CRAN
3,4.32,CRAN
3,4.66,CRAN
3,4.14,CRAN
3,4.32,CRAN
3,4.29,CRAN
3,3.86,CRAN
3,3.7,CRAN
3,4.5,CRAN
3,4.34,CRAN
3,4.52,CRAN
3,5.04,CRAN
3,5.71,CRAN
3,5.98,CRAN
3,5.77,CRAN
3,5.87,CRAN
3,6.81,CRAN
3,6.8,CRAN
3,6.68,CRAN
3,6.95,CRAN
4,,Cargo
4,,Cargo
4,,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,2.86,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,0.0,Cargo
4,2.0,Cargo
4,2.4,Cargo
4,3.9,Cargo
4,3.4,Cargo
4,2.47,Cargo
4,2.66,Cargo
4,1.83,Cargo
4,2.54,Cargo
4,2.57,Cargo
4,2.65,Cargo
4,2.5,Cargo
4,1.8,Cargo
4,2.08,Cargo
4,2.14,Cargo
4,1.88,Cargo
4,2.48,Cargo
4,3.03,Cargo
4,2.73,Cargo
4,2.59,Cargo
4,2.93,Cargo
4,2.92,Cargo
4,2.52,Cargo
4,3.03,Cargo
5,0.0,Clojars
5,0.0,Clojars
5,0.0,Clojars
5,0.0,Clojars
5,2.17,Clojars
5,1.3,Clojars
5,0.97,Clojars
5,2.31,Clojars
5,2.72,Clojars
5,2.16,Clojars
5,2.75,Clojars
5,1.44,Clojars
5,1.92,Clojars
5,1.38,Clojars
5,1.77,Clojars
5,1.45,Clojars
5,1.35,Clojars
5,1.43,Clojars
5,1.64,Clojars
5,1.45,Clojars
5,2.14,Clojars
5,2.04,Clojars
5,1.66,Clojars
5,1.68,Clojars
5,1.67,Clojars
5,1.56,Clojars
5,1.9,Clojars
5,1.64,Clojars
5,1.84,Clojars
5,1.68,Clojars
5,1.87,Clojars
5,1.83,Clojars
5,2.18,Clojars
5,2.32,Clojars
5,2.52,Clojars
5,2.41,Clojars
5,2.45,Clojars
5,2.88,Clojars
5,2.79,Clojars
5,2.58,Clojars
5,2.8,Clojars
5,2.77,Clojars
5,3.19,Clojars
5,2.84,Clojars
5,3.15,Clojars
6,0.0,CocoaPods
6,0.0,CocoaPods
6,0.0,CocoaPods
6,0.0,CocoaPods
6,0.0,CocoaPods
6,0.0,CocoaPods
6,1.08,CocoaPods
6,0.85,CocoaPods
6,0.75,CocoaPods
6,2.31,CocoaPods
6,1.17,CocoaPods
6,2.39,CocoaPods
6,1.7,CocoaPods
6,2.24,CocoaPods
6,1.5,CocoaPods
6,1.95,CocoaPods
6,1.63,CocoaPods
6,1.37,CocoaPods
6,1.46,CocoaPods
6,1.76,CocoaPods
6,1.6,CocoaPods
6,1.24,CocoaPods
6,1.55,CocoaPods
6,1.7,CocoaPods
6,1.89,CocoaPods
6,1.95,CocoaPods
6,2.12,CocoaPods
6,2.09,CocoaPods
6,2.14,CocoaPods
6,2.19,CocoaPods
6,2.03,CocoaPods
6,2.2,CocoaPods
6,2.39,CocoaPods
6,2.2,CocoaPods
6,2.43,CocoaPods
6,2.37,CocoaPods
6,2.68,CocoaPods
6,2.63,CocoaPods
6,2.46,CocoaPods
6,2.63,CocoaPods
6,2.58,CocoaPods
6,2.74,CocoaPods
6,2.75,CocoaPods
6,2.8,CocoaPods
6,2.61,CocoaPods
7,6.67,Go
7,0.0,Go
7,3.57,Go
7,0.0,Go
7,0.0,Go
7,1.82,Go
7,0.0,Go
7,1.16,Go
7,2.99,Go
7,2.56,Go
7,1.96,Go
7,1.91,Go
7,1.69,Go
7,2.16,Go
7,2.12,Go
7,2.0,Go
7,2.19,Go
7,2.08,Go
7,1.74,Go
7,1.69,Go
7,1.68,Go
7,1.89,Go
7,1.84,Go
7,1.74,Go
7,1.91,Go
7,1.9,Go
7,2.07,Go
7,2.15,Go
7,2.17,Go
7,2.13,Go
7,2.3,Go
7,2.36,Go
7,2.4,Go
7,2.53,Go
7,2.53,Go
7,2.55,Go
7,2.49,Go
7,2.76,Go
7,3.05,Go
7,2.86,Go
7,2.77,Go
7,2.85,Go
7,2.9,Go
7,2.86,Go
7,2.77,Go
8,1.72,Hackage
8,1.79,Hackage
8,1.49,Hackage
8,1.12,Hackage
8,1.77,Hackage
8,2.06,Hackage
8,2.02,Hackage
8,1.64,Hackage
8,0.0,Hackage
8,1.8,Hackage
8,1.1,Hackage
8,3.12,Hackage
8,0.41,Hackage
8,1.75,Hackage
8,1.27,Hackage
8,0.9,Hackage
8,1.47,Hackage
8,2.05,Hackage
8,1.55,Hackage
8,2.08,Hackage
8,1.92,Hackage
8,1.48,Hackage
8,2.0,Hackage
8,2.33,Hackage
8,2.13,Hackage
8,1.95,Hackage
8,2.04,Hackage
8,2.37,Hackage
8,1.66,Hackage
8,2.37,Hackage
8,1.82,Hackage
8,2.01,Hackage
8,1.84,Hackage
8,2.09,Hackage
8,2.28,Hackage
8,2.24,Hackage
8,2.05,Hackage
8,2.31,Hackage
8,1.76,Hackage
8,2.72,Hackage
8,2.96,Hackage
8,2.45,Hackage
8,2.64,Hackage
8,2.49,Hackage
8,3.11,Hackage
9,0.0,Hex
9,0.0,Hex
9,0.0,Hex
9,0.0,Hex
9,0.0,Hex
9,0.0,Hex
9,0.0,Hex
9,0.0,Hex
9,3.7,Hex
9,2.86,Hex
9,1.35,Hex
9,0.0,Hex
9,2.17,Hex
9,1.16,Hex
9,1.72,Hex
9,0.0,Hex
9,0.56,Hex
9,1.18,Hex
9,1.61,Hex
9,1.44,Hex
9,1.68,Hex
9,1.42,Hex
9,0.3,Hex
9,1.37,Hex
9,1.5,Hex
9,0.65,Hex
9,1.44,Hex
9,1.17,Hex
